timestamp,action,entry_price,exit_price,pnl_percent,pnl_usdt,balance_after,score,entry_reason,exit_reason,duration_minutes,kill_switch_triggered,kill_switch_reason,balance_peak
2026-01-31 07:15:22,BUY,1.7457,,,,1000.00,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:15:52,EXIT,1.7457,1.7454,-0.02,-0.02,999.98,10,AI_BYPASS,aggressive_flip,0,False,,1000.00
2026-01-31 07:20:32,BUY,1.7425,,,,999.98,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:20:37,EXIT,1.7425,1.7423,-0.01,-0.01,999.97,10,AI_BYPASS,aggressive_flip,0,False,,1000.00
2026-01-31 07:22:08,BUY,1.7442,,,,999.97,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:24:31,BUY,1.7470,,,,999.97,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:24:52,BUY,1.7470,,,,999.97,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:25:57,EXIT,1.7470,1.7466,-0.02,-0.02,999.95,10,AI_BYPASS,sl,1,False,,1000.00
2026-01-31 07:25:59,BUY,1.7466,,,,999.95,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:26:58,BUY,1.7457,,,,999.95,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:27:07,EXIT,1.7457,1.7451,-0.03,-0.03,999.92,10,AI_BYPASS,aggressive_flip,0,False,,1000.00
2026-01-31 07:30:52,BUY,1.7449,,,,999.92,10,AI_BYPASS,,0,False,,1000.00
2026-01-31 07:30:56,EXIT,1.7449,1.7447,-0.01,-0.01,999.91,10,AI_BYPASS,aggressive_flip,0,False,,1000.00
